  Time   ChainA   ChainB   ChainC    ChainD
5580.00  0.2860   0.3414   0.3322    0.2893
5590.00  0.2791   0.3215   0.3329    0.2882
5600.00  0.2756   0.3127   0.3460    0.2707
5610.00  0.2856   0.3358   0.3378    0.2762
5620.00  0.2831   0.3241   0.3412    0.2677
5630.00  0.2956   0.3292   0.3123    0.2687
5640.00  0.2861   0.3319   0.3095    0.2729
5650.00  0.2723   0.3450   0.3350    0.2659
5660.00  0.2884   0.3552   0.3335    0.2877
5670.00  0.2971   0.3243   0.3297    0.2757
5680.00  0.2880   0.3339   0.3299    0.2639
5690.00  0.2850   0.3345   0.3170    0.2669
5700.00  0.2898   0.3526   0.3059    0.2767
5710.00  0.2945   0.3786   0.3093    0.2768
5720.00  0.2998   0.3595   0.2998    0.2813
5730.00  0.2974   0.3590   0.3295    0.2654
5740.00  0.3143   0.3672   0.3277    0.2720
5750.00  0.3305   0.3716   0.3349    0.2640
5760.00  0.3250   0.3646   0.3292    0.2521
5770.00  0.3240   0.3553   0.3260    0.2517
5780.00  0.3270   0.3565   0.3268    0.2462
5790.00  0.3284   0.3470   0.3216    0.2597
5800.00  0.3210   0.3487   0.3315    0.2465
5810.00  0.3062   0.3453   0.3179    0.2571
5820.00  0.3076   0.3248   0.3359    0.2408
5830.00  0.3057   0.3397   0.3519    0.2445
5840.00  0.3075   0.3216   0.3400    0.2430
5850.00  0.3116   0.3140   0.3225    0.2507
5860.00  0.3097   0.3115   0.3135    0.2499
5870.00  0.3029   0.3315   0.3220    0.2503
5880.00  0.3048   0.3340   0.3251    0.2591
5890.00  0.3092   0.3308   0.3276    0.2531
5900.00  0.3036   0.3226   0.3159    0.2515
5910.00  0.3116   0.3533   0.3263    0.2662
5920.00  0.3213   0.3315   0.3255    0.2647
5930.00  0.3265   0.3230   0.3045    0.2645
5940.00  0.3047   0.3384   0.3163    0.2706
5950.00  0.3016   0.3411   0.3217    0.2686
5960.00  0.2951   0.3209   0.3066    0.2633
5970.00  0.2919   0.3327   0.3007    0.2603
5980.00  0.2796   0.3305   0.3022    0.2598
5990.00  0.2787   0.3152   0.3378    0.2545
6000.00  0.2876   0.3146   0.2820    0.2430
6010.00  0.2669   0.3208   0.2716    0.2555
6020.00  0.2657   0.3140   0.2797    0.2537
6030.00  0.2613   0.3007   0.2823    0.2434
6040.00  0.2608   0.3325   0.2988    0.2463
6050.00  0.2603   0.3170   0.3070    0.2309
6060.00  0.2637   0.3238   0.3263    0.2319
6070.00  0.2764   0.3324   0.3342    0.2380
6080.00  0.2714   0.3332   0.3396    0.2447
6090.00  0.2805   0.3064   0.3502    0.2378
6100.00  0.2684   0.3211   0.3360    0.2548
6110.00  0.2818   0.3373   0.3501    0.2734
6120.00  0.2849   0.3184   0.3339    0.2498
6130.00  0.2952   0.3072   0.3376    0.2575
6140.00  0.2786   0.3190   0.3348    0.2557
6150.00  0.2864   0.3252   0.3348    0.2686
6160.00  0.3027   0.3180   0.3025    0.2783
6170.00  0.2949   0.3294   0.3006    0.2893
6180.00  0.2981   0.3260   0.3066    0.2620
6190.00  0.2988   0.3229   0.2993    0.2650
6200.00  0.3089   0.3076   0.3082    0.2832
6210.00  0.2969   0.3204   0.3140    0.2728
6220.00  0.3003   0.3239   0.3022    0.2802
6230.00  0.2953   0.3254   0.3046    0.2841
6240.00  0.2982   0.3373   0.3237    0.2785
6250.00  0.3043   0.3465   0.3137    0.2732
6260.00  0.3020   0.3127   0.3073    0.2583
6270.00  0.3122   0.3095   0.3233    0.2567
6280.00  0.3152   0.3144   0.3448    0.2616
6290.00  0.3205   0.2975   0.3358    0.2690
6300.00  0.3179   0.3018   0.3441    0.2893
6310.00  0.3021   0.2745   0.3499    0.2810
6320.00  0.3000   0.2926   0.3398    0.2803
6330.00  0.2993   0.2949   0.3687    0.2721
6340.00  0.2958   0.3039   0.3490    0.2807
6350.00  0.2734   0.3057   0.3405    0.2701
6360.00  0.2857   0.3187   0.3500    0.2731
6370.00  0.2891   0.3170   0.3460    0.2642
6380.00  0.2805   0.3094   0.3239    0.2650
6390.00  0.2695   0.3120   0.3459    0.2586
6400.00  0.2645   0.3164   0.3685    0.2575
6410.00  0.2681   0.3374   0.3784    0.2595
6420.00  0.2794   0.3332   0.3537    0.2523
6430.00  0.2892   0.3205   0.3462    0.2444
6440.00  0.2873   0.3364   0.3391    0.2646
6450.00  0.2980   0.3441   0.3639    0.2631
6460.00  0.3020   0.3402   0.3779    0.2575
6470.00  0.2904   0.3221   0.3883    0.2404
6480.00  0.2809   0.3090   0.3731    0.2458
6490.00  0.2908   0.3252   0.3660    0.2479
6500.00  0.2916   0.3425   0.3516    0.2489
6510.00  0.2830   0.3293   0.3492    0.2599
6520.00  0.2689   0.3321   0.3788    0.2497
6530.00  0.2961   0.3344   0.4019    0.2464
6540.00  0.2862   0.3237   0.3795    0.2434
6550.00  0.2956   0.3247   0.3843    0.2516
6560.00  0.2962   0.3250   0.3856    0.2587
6570.00  0.2816   0.3034   0.3645    0.2584
6580.00  0.2732   0.3300   0.3806    0.2645
6590.00  0.2809   0.3305   0.3704    0.2662
6600.00  0.2779   0.3394   0.3678    0.2611
6610.00  0.2804   0.3373   0.3763    0.2678
6620.00  0.2835   0.3451   0.3520    0.2809
6630.00  0.2981   0.3306   0.3555    0.2638
6640.00  0.3007   0.3343   0.3599    0.2789
6650.00  0.2997   0.3290   0.3672    0.2863
6660.00  0.2839   0.3392   0.3678    0.2607
6670.00  0.2690   0.3437   0.3826    0.2599
6680.00  0.2651   0.3509   0.3707    0.2843
6690.00  0.2655   0.3489   0.3755    0.2565
6700.00  0.2551   0.3246   0.3506    0.2706
6710.00  0.2627   0.3214   0.3566    0.2698
6720.00  0.2480   0.3474   0.3552    0.2650
6730.00  0.2570   0.3396   0.3304    0.2651
6740.00  0.2545   0.3333   0.3541    0.2710
6750.00  0.2532   0.3193   0.3393    0.2852
6760.00  0.2601   0.3314   0.3288    0.2692
6770.00  0.2819   0.3451   0.3474    0.2605
6780.00  0.2777   0.3186   0.3421    0.2646
6790.00  0.2670   0.3264   0.3457    0.2620
6800.00  0.2732   0.3198   0.3572    0.2615
6810.00  0.2830   0.3159   0.3599    0.2646
6820.00  0.2638   0.3172   0.3566    0.2583
6830.00  0.2552   0.2967   0.3409    0.2443
6840.00  0.2793   0.3091   0.3335    0.2658
6850.00  0.2732   0.3148   0.3596    0.2387
6860.00  0.2686   0.3192   0.3618    0.2358
6870.00  0.2587   0.3272   0.3732    0.2259
6880.00  0.2650   0.3233   0.3605    0.2308
6890.00  0.2749   0.3408   0.3557    0.2292
6900.00  0.2932   0.3352   0.3435    0.2145
6910.00  0.2933   0.3413   0.3736    0.2150
6920.00  0.2923   0.3354   0.3781    0.2063
6930.00  0.2797   0.3160   0.3888    0.2143
6940.00  0.2785   0.3272   0.4046    0.1999
6950.00  0.2820   0.3328   0.3935    0.2018
6960.00  0.2770   0.3269   0.4009    0.1958
6970.00  0.2847   0.3388   0.3989    0.2002
6980.00  0.2814   0.3181   0.3892    0.1944
6990.00  0.2860   0.3459   0.3815    0.2002
7000.00  0.2731   0.3444   0.3644    0.2012
7010.00  0.2926   0.3340   0.3633    0.2022
7020.00  0.2999   0.3274   0.3625    0.2055
7030.00  0.2978   0.3177   0.3501    0.1979
7040.00  0.2722   0.3322   0.3448    0.1987
7050.00  0.2923   0.3397   0.3458    0.2061
7060.00  0.2890   0.3302   0.3460    0.2008
7070.00  0.2950   0.3349   0.3529    0.1902
7080.00  0.2883   0.3149   0.3373    0.1942
7090.00  0.2727   0.3410   0.3461    0.1962
7100.00  0.2880   0.3346   0.3550    0.1977
7110.00  0.2818   0.3450   0.3644    0.2045
7120.00  0.2754   0.3405   0.3525    0.2096
7130.00  0.2711   0.3319   0.3423    0.2115
7140.00  0.2742   0.3347   0.3389    0.2052
7150.00  0.2813   0.3430   0.3503    0.2043
7160.00  0.2674   0.3242   0.3473    0.2026
7170.00  0.2778   0.3480   0.3385    0.2016
7180.00  0.2855   0.3462   0.3430    0.1943
7190.00  0.2909   0.3474   0.3392    0.2028
7200.00  0.2883   0.3582   0.3341    0.2102
7210.00  0.2943   0.3477   0.3452    0.2137
7220.00  0.2958   0.3441   0.3339    0.2095
7230.00  0.3008   0.3104   0.3319    0.1964
7240.00  0.3024   0.3246   0.3267    0.2012
7250.00  0.3030   0.3163   0.3519    0.2009
7260.00  0.2981   0.3233   0.3533    0.2093
7270.00  0.2919   0.3366   0.3232    0.2023
7280.00  0.2803   0.3381   0.3259    0.2065
7290.00  0.2920   0.3273   0.3616    0.2012
7300.00  0.2861   0.3390   0.3667    0.2087
7310.00  0.2963   0.3430   0.3504    0.1993
7320.00  0.2890   0.3512   0.3669    0.2050
7330.00  0.2875   0.3473   0.3693    0.1954
7340.00  0.2912   0.3394   0.3629    0.2002
7350.00  0.3040   0.3428   0.3585    0.2076
7360.00  0.2931   0.3500   0.3355    0.2064
7370.00  0.3075   0.3415   0.3067    0.2020
7380.00  0.3070   0.3485   0.3098    0.2088
7390.00  0.3088   0.3477   0.3199    0.2068
7400.00  0.3001   0.3691   0.3112    0.2047
7410.00  0.2890   0.3835   0.3005    0.2103
7420.00  0.3082   0.3727   0.3283    0.2030
7430.00  0.3079   0.3650   0.3374    0.2058
7440.00  0.2953   0.3530   0.3100    0.2070
7450.00  0.2974   0.3603   0.3258    0.2002
7460.00  0.2842   0.3527   0.3504    0.2008
7470.00  0.2872   0.3810   0.3478    0.1971
7480.00  0.2826   0.3554   0.3290    0.2044
7490.00  0.2717   0.3684   0.3423    0.1936
7500.00  0.2763   0.3713   0.3465    0.2039
7510.00  0.2764   0.3529   0.3579    0.2135
7520.00  0.2838   0.3499   0.3447    0.2073
7530.00  0.2871   0.3427   0.3649    0.2072
7540.00  0.2655   0.3364   0.3915    0.2081
7550.00  0.2593   0.3475   0.3619    0.2060
7560.00  0.2592   0.3310   0.3706    0.2058
7570.00  0.2684   0.3460   0.3537    0.2066
7580.00  0.2890   0.3427   0.3535    0.1984
7590.00  0.2778   0.3230   0.3349    0.2026
7600.00  0.2857   0.3505   0.3452    0.2020
7610.00  0.2876   0.3477   0.3389    0.2043
7620.00  0.2843   0.3509   0.3319    0.2072
7630.00  0.3096   0.3595   0.3138    0.2096
7640.00  0.3062   0.3502   0.3329    0.2170
7650.00  0.3091   0.3617   0.3300    0.2222
7660.00  0.3035   0.3578   0.3129    0.2087
7670.00  0.3095   0.3463   0.3125    0.2074
7680.00  0.3051   0.3613   0.3189    0.2105
7690.00  0.3134   0.3582   0.3006    0.2124
7700.00  0.3305   0.3661   0.2913    0.1982
7710.00  0.3063   0.3402   0.3050    0.1971
7720.00  0.3194   0.3150   0.3120    0.1959
7730.00  0.3159   0.3349   0.3232    0.1993
7740.00  0.2913   0.3426   0.3363    0.2083
7750.00  0.2933   0.3576   0.3325    0.2028
7760.00  0.2888   0.3445   0.3392    0.1998
7770.00  0.2775   0.3590   0.3585    0.1995
7780.00  0.2902   0.3723   0.3523    0.1979
7790.00  0.2968   0.3765   0.3548    0.1942
7800.00  0.2874   0.3806   0.3366    0.1933
7810.00  0.2750   0.3526   0.3344    0.1982
7820.00  0.2764   0.3627   0.3382    0.1974
7830.00  0.2666   0.3667   0.3315    0.1997
7840.00  0.2798   0.3757   0.3129    0.2076
7850.00  0.2948   0.3718   0.2865    0.2126
7860.00  0.2967   0.3686   0.3135    0.2163
7870.00  0.2944   0.3543   0.3217    0.2167
7880.00  0.2871   0.3588   0.3240    0.2243
7890.00  0.2919   0.3484   0.3452    0.2149
7900.00  0.2981   0.3425   0.3529    0.2205
7910.00  0.3022   0.3309   0.3505    0.2103
7920.00  0.2838   0.3306   0.3377    0.2065
7930.00  0.2891   0.3561   0.3306    0.2098
7940.00  0.2864   0.3546   0.3341    0.2036
7950.00  0.2946   0.3511   0.3233    0.2127
7960.00  0.3018   0.3425   0.3539    0.2020
7970.00  0.3137   0.3538   0.3419    0.2058
7980.00  0.3041   0.3676   0.3258    0.2136
7990.00  0.2801   0.3516   0.3336    0.2101
8000.00  0.2962   0.3415   0.3263    0.2008
8010.00  0.2959   0.3684   0.3287    0.2015
8020.00  0.3066   0.3557   0.3308    0.2036
8030.00  0.3175   0.3569   0.3301    0.1950
8040.00  0.3111   0.3796   0.3277    0.2011
8050.00  0.2959   0.3561   0.3435    0.1956
8060.00  0.3097   0.3609   0.3626    0.2002
8070.00  0.3170   0.3673   0.3543    0.1897
8080.00  0.3328   0.3856   0.3472    0.1992
8090.00  0.3193   0.3695   0.3482    0.2050
8100.00  0.3189   0.3572   0.3646    0.2119
8110.00  0.3114   0.3668   0.3695    0.2085
8120.00  0.3148   0.3661   0.3453    0.2116
8130.00  0.3124   0.3693   0.3267    0.2029
8140.00  0.3069   0.3905   0.3292    0.1956
8150.00  0.3160   0.3922   0.3475    0.1972
8160.00  0.3021   0.3919   0.3351    0.2027
8170.00  0.2938   0.3865   0.2980    0.1988
8180.00  0.2898   0.3736   0.3347    0.2027
8190.00  0.2787   0.3788   0.3529    0.2122
8200.00  0.3098   0.3742   0.3373    0.2154
8210.00  0.3017   0.3860   0.3581    0.2034
8220.00  0.2839   0.3773   0.3596    0.2100
8230.00  0.2722   0.3621   0.3701    0.2037
8240.00  0.2684   0.3669   0.3641    0.2072
8250.00  0.2734   0.3569   0.3705    0.2033
8260.00  0.2792   0.3610   0.3633    0.2124
8270.00  0.2814   0.3610   0.3498    0.1949
8280.00  0.2730   0.3718   0.3358    0.2023
8290.00  0.3091   0.3691   0.3340    0.1998
8300.00  0.2995   0.3842   0.3400    0.2056
8310.00  0.2844   0.3771   0.3268    0.2072
8320.00  0.2857   0.3491   0.3040    0.2036
8330.00  0.2856   0.3478   0.3054    0.2105
8340.00  0.2882   0.3408   0.3336    0.2100
8350.00  0.3027   0.3288   0.3407    0.2177
8360.00  0.3030   0.3166   0.3371    0.2148
8370.00  0.2848   0.3366   0.3264    0.2121
8380.00  0.2871   0.3343   0.3072    0.1965
8390.00  0.2737   0.3464   0.3327    0.2002
8400.00  0.2690   0.3427   0.3288    0.2118
8410.00  0.2529   0.3659   0.3320    0.2213
8420.00  0.2710   0.3544   0.3129    0.2266
8430.00  0.2618   0.3750   0.3111    0.2192
8440.00  0.2595   0.3625   0.3376    0.2147
8450.00  0.2689   0.3447   0.3080    0.2140
8460.00  0.2682   0.3504   0.3230    0.2121
8470.00  0.2789   0.3349   0.3149    0.2041
8480.00  0.2862   0.3734   0.3058    0.2055
8490.00  0.3060   0.3543   0.3123    0.2118
8500.00  0.2976   0.3590   0.3378    0.2089
8510.00  0.2841   0.3758   0.3301    0.2111
8520.00  0.2993   0.3561   0.3195    0.2161
8530.00  0.3033   0.3736   0.3295    0.2085
8540.00  0.3146   0.3723   0.3459    0.2057
8550.00  0.3211   0.3537   0.3498    0.2113
8560.00  0.3256   0.3550   0.3499    0.2188
8570.00  0.3021   0.3426   0.3382    0.2160
8580.00  0.3052   0.3305   0.3639    0.2220
8590.00  0.2745   0.3174   0.3528    0.2208
8600.00  0.2854   0.3158   0.3602    0.2079
8610.00  0.2754   0.3173   0.3479    0.2095
8620.00  0.2683   0.3230   0.3535    0.2029
8630.00  0.2681   0.3359   0.3689    0.2071
8640.00  0.2817   0.3232   0.3433    0.2124
8650.00  0.2646   0.3274   0.3478    0.2058
8660.00  0.2828   0.3226   0.3595    0.2120
8670.00  0.2939   0.3231   0.3708    0.2127
8680.00  0.3022   0.3233   0.3635    0.2171
8690.00  0.2984   0.3318   0.3343    0.2038
8700.00  0.3074   0.3222   0.3235    0.2090
8710.00  0.2935   0.3248   0.3154    0.2109
8720.00  0.3102   0.3144   0.3046    0.2052
8730.00  0.3068   0.3060   0.3291    0.2063
8740.00  0.3057   0.3192   0.3247    0.2154
8750.00  0.2964   0.3188   0.3241    0.2148
8760.00  0.2982   0.3224   0.3297    0.2212
8770.00  0.2956   0.3259   0.3531    0.2177
8780.00  0.2940   0.3314   0.3479    0.2175
8790.00  0.3176   0.3165   0.3510    0.2044
8800.00  0.3197   0.3328   0.3499    0.1996
8810.00  0.3230   0.3472   0.3477    0.2173
8820.00  0.3219   0.3421   0.3345    0.2022
8830.00  0.3054   0.3281   0.3384    0.2020
8840.00  0.3014   0.3204   0.3271    0.2094
8850.00  0.2926   0.3372   0.3302    0.2043
8860.00  0.3035   0.3360   0.3519    0.2112
8870.00  0.3119   0.3156   0.3298    0.2107
8880.00  0.3187   0.3201   0.3173    0.2123
8890.00  0.3029   0.3242   0.3159    0.2078
8900.00  0.3126   0.3493   0.3269    0.2098
8910.00  0.3189   0.3402   0.3215    0.2082
8920.00  0.2921   0.3372   0.3282    0.2154
8930.00  0.2866   0.3583   0.3233    0.2101
8940.00  0.2893   0.3530   0.3265    0.2081
8950.00  0.2864   0.3346   0.3113    0.2072
8960.00  0.2773   0.3375   0.3262    0.1988
8970.00  0.2952   0.3456   0.3143    0.2044
8980.00  0.3096   0.3417   0.3252    0.2034
8990.00  0.2975   0.3405   0.3190    0.2003
9000.00  0.2929   0.3437   0.3126    0.1970
9010.00  0.2908   0.3203   0.3041    0.1932
9020.00  0.3028   0.3221   0.2992    0.1993
9030.00  0.2967   0.3336   0.2945    0.1990
9040.00  0.3061   0.3559   0.3165    0.1947
9050.00  0.3066   0.3728   0.3311    0.2069
9060.00  0.2782   0.3556   0.3222    0.1967
9070.00  0.2759   0.3526   0.3359    0.2042
9080.00  0.2744   0.3622   0.3496    0.2065
9090.00  0.2804   0.3790   0.3433    0.2116
9100.00  0.2797   0.3774   0.3830    0.2076
9110.00  0.2745   0.3612   0.3609    0.2155
9120.00  0.2756   0.3417   0.3806    0.2239
9130.00  0.2684   0.3707   0.3709    0.2122
9140.00  0.2736   0.3764   0.3671    0.2173
9150.00  0.2776   0.3597   0.3732    0.2247
9160.00  0.2827   0.3762   0.3702    0.2247
9170.00  0.2774   0.3565   0.3620    0.2086
9180.00  0.2784   0.3471   0.3721    0.2252
9190.00  0.2676   0.3531   0.3720    0.2132
9200.00  0.2701   0.3459   0.3716    0.2244
9210.00  0.2656   0.3524   0.3623    0.2154
9220.00  0.2574   0.3440   0.3787    0.2232
9230.00  0.2623   0.3434   0.3934    0.2205
9240.00  0.2543   0.3701   0.4094    0.2106
9250.00  0.2623   0.3661   0.4087    0.2199
9260.00  0.2695   0.3549   0.3930    0.2279
9270.00  0.2784   0.3360   0.3776    0.2290
9280.00  0.2597   0.3647   0.3644    0.2249
9290.00  0.2643   0.3763   0.3893    0.2336
9300.00  0.2783   0.3562   0.3919    0.2271
9310.00  0.2721   0.3361   0.3676    0.2195
9320.00  0.2867   0.3563   0.3725    0.2091
9330.00  0.2819   0.3397   0.3770    0.2164
9340.00  0.2738   0.3424   0.3714    0.2109
9350.00  0.2701   0.3492   0.3758    0.2189
9360.00  0.2545   0.3410   0.3889    0.2205
9370.00  0.2612   0.3532   0.3821    0.2313
9380.00  0.2796   0.3535   0.3800    0.2130
9390.00  0.2872   0.3437   0.3750    0.2132
9400.00  0.2660   0.3154   0.3790    0.2111
9410.00  0.2769   0.3243   0.3727    0.2084
9420.00  0.2756   0.3357   0.3968    0.2116
9430.00  0.2859   0.3119   0.3902    0.2083
9440.00  0.2931   0.3166   0.3900    0.2066
9450.00  0.2822   0.3243   0.3891    0.2224
9460.00  0.2834   0.3133   0.3911    0.2303
9470.00  0.2580   0.3151   0.4139    0.2336
9480.00  0.2741   0.3139   0.4166    0.2343
9490.00  0.2657   0.3251   0.4077    0.2398
9500.00  0.2732   0.3227   0.4190    0.2220
9510.00  0.2724   0.3261   0.4164    0.2256
9520.00  0.2592   0.3318   0.4113    0.2348
9530.00  0.2705   0.3297   0.4268    0.2299
9540.00  0.2669   0.3273   0.4056    0.2187
9550.00  0.2630   0.3238   0.4130    0.2281
9560.00  0.2628   0.3405   0.3914    0.2346
9570.00  0.2711   0.3570   0.3784    0.2286
9580.00  0.2753   0.3417   0.3704    0.2333
9590.00  0.2857   0.3342   0.3824    0.2327
9600.00  0.2825   0.3350   0.3873    0.2348
9610.00  0.2784   0.3408   0.3785    0.2288
9620.00  0.2746   0.3499   0.3929    0.2270
9630.00  0.2628   0.3734   0.3941    0.2193
9640.00  0.2710   0.3681   0.3829    0.2185
9650.00  0.2635   0.3613   0.4044    0.2015
9660.00  0.2755   0.3612   0.3795    0.2141
9670.00  0.2871   0.3755   0.3782    0.2285
9680.00  0.2703   0.3721   0.3728    0.2225
9690.00  0.2722   0.3887   0.3615    0.2231
9700.00  0.2866   0.3688   0.3623    0.2300
9710.00  0.2780   0.3802   0.3923    0.2294
9720.00  0.2638   0.3764   0.3946    0.2163
9730.00  0.2697   0.3854   0.3943    0.2163
9740.00  0.2604   0.3727   0.3971    0.2050
9750.00  0.2566   0.3719   0.3913    0.2140
9760.00  0.2731   0.3700   0.3859    0.2170
9770.00  0.2770   0.3332   0.3739    0.2087
9780.00  0.2748   0.3529   0.3524    0.2150
9790.00  0.2768   0.3380   0.3543    0.2035
9800.00  0.2806   0.3373   0.3664    0.2086
9810.00  0.2942   0.3144   0.3575    0.2120
9820.00  0.2947   0.3087   0.3777    0.2072
9830.00  0.2891   0.3327   0.3724    0.2209
9840.00  0.2876   0.3218   0.3872    0.2163
9850.00  0.2956   0.3153   0.3734    0.2302
9860.00  0.3050   0.3376   0.3568    0.2243
9870.00  0.2983   0.3607   0.3712    0.2170
9880.00  0.2913   0.3656   0.3698    0.2254
9890.00  0.3048   0.3653   0.3686    0.2302
9900.00  0.3187   0.3764   0.3414    0.2232
9910.00  0.3051   0.3590   0.3459    0.2150
9920.00  0.3034   0.3651   0.3369    0.2223
9930.00  0.3137   0.3653   0.3246    0.2178
9940.00  0.2981   0.3514   0.3372    0.2066
9950.00  0.3059   0.3369   0.3241    0.2114
9960.00  0.2954   0.3612   0.3017    0.1934
9970.00  0.2840   0.3469   0.3363    0.2131
9980.00  0.2994   0.3346   0.3165    0.2183
9990.00  0.2906   0.3294   0.3440    0.2130
